Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
TXN_27510,USER_6341,1.81,Bank Transfer,2023-10-19 20:16:00,59442.18,Mobile,New York,Clothing,0,0,2,227.56,0,Discover,9,4078.81,Password,0.2178,0,0
TXN_39806,USER_6765,34.66,Online,2023-10-19 20:32:00,89813.31,Laptop,Sydney,Electronics,0,0,13,276.23,2,Visa,55,3791.46,OTP,0.8502,0,1
TXN_19055,USER_9718,51.38,Bank Transfer,2023-10-19 21:04:00,90375.4,Mobile,Tokyo,Restaurants,0,0,10,14.53,3,Mastercard,171,1583.77,PIN,0.3283,0,0
TXN_8618,USER_6520,49.73,Online,2023-10-19 21:12:00,70126.01,Tablet,New York,Travel,0,0,13,219.34,1,Amex,80,1083.36,Password,0.9714,1,1
TXN_13856,USER_9125,6.53,Bank Transfer,2023-10-19 21:13:00,7872.35,Laptop,London,Clothing,0,0,2,235.04,1,Amex,175,3039.14,Password,0.6611,0,0
TXN_33350,USER_7007,150.45,ATM Withdrawal,2023-10-19 21:20:00,76880.15,Mobile,Tokyo,Groceries,0,1,3,402.6,0,Visa,123,2239.36,Password,0.0456,0,0
TXN_46526,USER_5486,8.43,ATM Withdrawal,2023-10-19 21:20:00,33071.87,Laptop,Tokyo,Electronics,0,0,1,163.8,1,Mastercard,213,2219.16,PIN,0.4589,0,0
TXN_13754,USER_6666,65.05,Bank Transfer,2023-10-19 21:33:00,23934.78,Tablet,Mumbai,Clothing,0,0,8,478.29,2,Amex,118,4512.31,Biometric,0.3529,0,0
TXN_25532,USER_6969,82.83,POS,2023-10-19 21:45:00,93528.69,Tablet,Mumbai,Groceries,0,1,7,219.56,2,Discover,153,3537.17,Biometric,0.7469,0,0
TXN_6577,USER_9864,21.48,Bank Transfer,2023-10-19 21:48:00,2175.7,Tablet,Tokyo,Clothing,0,0,3,72.41,3,Discover,26,3149.0,Password,0.3649,0,0
TXN_19242,USER_9148,200.03,ATM Withdrawal,2023-10-19 21:52:00,84715.42,Tablet,London,Groceries,0,0,9,235.81,1,Mastercard,20,953.75,Password,0.0034,0,0
TXN_18136,USER_9874,8.15,POS,2023-10-19 22:06:00,59464.13,Mobile,Sydney,Electronics,0,0,14,91.81,4,Visa,184,1417.27,Password,0.5202,0,1
TXN_3602,USER_3607,43.89,Bank Transfer,2023-10-19 22:08:00,47313.36,Mobile,London,Travel,0,0,5,34.0,4,Mastercard,206,4854.91,Biometric,0.2158,1,1
TXN_7812,USER_6873,48.89,ATM Withdrawal,2023-10-19 22:12:00,81950.53,Mobile,Mumbai,Groceries,0,0,12,393.75,2,Amex,239,4413.32,Biometric,0.5725,1,0
TXN_39922,USER_6315,5.24,Bank Transfer,2023-10-19 22:17:00,68200.57,Laptop,Sydney,Groceries,0,0,6,131.54,2,Amex,150,1915.65,OTP,0.8233,0,0
