Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Timestamp,Account_Balance,Device_Type,Location,Merchant_Category,IP_Address_Flag,Previous_Fraudulent_Activity,Daily_Transaction_Count,Avg_Transaction_Amount_7d,Failed_Transaction_Count_7d,Card_Type,Card_Age,Transaction_Distance,Authentication_Method,Risk_Score,Is_Weekend,Fraud_Label
TXN_10140,USER_8082,113.0,POS,2023-08-07 17:43:00,66756.28,Mobile,Tokyo,Travel,1,0,10,15.76,2,Discover,149,2152.74,Biometric,0.348,0,0
TXN_31753,USER_3272,34.48,POS,2023-08-07 18:06:00,15257.58,Laptop,Tokyo,Restaurants,0,1,8,394.94,2,Amex,16,2895.53,Password,0.3003,0,0
TXN_28843,USER_1519,88.91,Online,2023-08-07 18:08:00,45024.54,Laptop,Mumbai,Groceries,0,0,6,358.71,1,Amex,128,148.18,PIN,0.3452,0,0
TXN_6024,USER_6904,113.93,Online,2023-08-07 18:13:00,36784.58,Laptop,London,Travel,0,0,8,444.41,0,Visa,158,4103.34,Biometric,0.6515,0,0
TXN_19848,USER_7292,117.71,Bank Transfer,2023-08-07 18:27:00,65498.74,Mobile,Sydney,Groceries,0,0,2,343.27,2,Mastercard,193,2256.44,Biometric,0.3148,0,0
TXN_19394,USER_6353,75.68,Online,2023-08-07 18:42:00,62800.33,Mobile,Tokyo,Travel,0,0,9,274.17,4,Mastercard,149,2312.34,OTP,0.2012,0,1
TXN_18204,USER_1583,30.54,ATM Withdrawal,2023-08-07 18:45:00,97639.3,Mobile,London,Travel,0,1,12,83.05,1,Amex,48,818.78,OTP,0.1543,1,0
TXN_1594,USER_6178,78.13,Online,2023-08-07 19:00:00,44851.14,Tablet,London,Groceries,0,0,10,126.0,3,Visa,22,798.79,Biometric,0.7773,0,0
TXN_13185,USER_8626,79.6,Bank Transfer,2023-08-07 19:16:00,44424.02,Laptop,Mumbai,Clothing,0,0,11,98.27,2,Discover,203,2285.38,Password,0.6542,0,0
TXN_34488,USER_6375,98.01,Online,2023-08-07 19:18:00,90496.15,Laptop,New York,Restaurants,0,0,13,148.54,1,Amex,18,298.07,PIN,0.871,0,1
TXN_816,USER_3060,68.37,Online,2023-08-07 19:27:00,5708.76,Laptop,Tokyo,Travel,0,0,12,13.91,0,Discover,232,1347.06,PIN,0.5376,1,0
TXN_27089,USER_7604,36.19,Online,2023-08-07 19:30:00,34105.81,Tablet,London,Travel,0,0,3,13.42,4,Visa,132,2009.32,PIN,0.1616,0,1
TXN_40358,USER_3869,42.61,ATM Withdrawal,2023-08-07 19:59:00,90636.31,Tablet,New York,Electronics,0,0,13,281.52,1,Discover,190,2813.83,Biometric,0.5838,0,0
TXN_391,USER_3479,98.05,Bank Transfer,2023-08-07 20:13:00,31223.88,Laptop,Tokyo,Clothing,0,0,4,338.5,0,Mastercard,16,2737.86,Password,0.6289,0,0
TXN_36035,USER_1855,2.88,Online,2023-08-07 20:28:00,14681.97,Tablet,Mumbai,Groceries,0,0,1,459.3,0,Visa,140,2059.94,PIN,0.4812,0,0
TXN_3799,USER_1206,52.74,POS,2023-08-07 20:50:00,36420.46,Mobile,Sydney,Restaurants,0,0,14,86.15,3,Visa,1,737.02,Password,0.5423,1,0
TXN_16043,USER_2159,218.53,ATM Withdrawal,2023-08-07 20:51:00,98535.66,Laptop,London,Travel,0,0,10,425.68,0,Mastercard,218,1059.7,PIN,0.3865,0,0
TXN_43605,USER_2549,50.26,ATM Withdrawal,2023-08-07 21:04:00,68420.01,Tablet,Sydney,Electronics,0,0,2,244.09,0,Amex,64,4910.45,OTP,0.6076,0,0
TXN_7943,USER_8928,74.19,Online,2023-08-07 21:08:00,8881.91,Tablet,Sydney,Restaurants,0,0,9,389.63,2,Amex,210,3918.78,OTP,0.5102,1,0
